id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
155548,https://www.airbnb.com/rooms/155548,20230605223331,2023-06-06,previous scrape,Rental unit in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,"Stay in one of the most vibrant neighborhoods of the city, with bars, restaurants, clubs, parks and just 2 minutes walk from the historic city centre, with its rings of canals. Enjoy being a 15 minutes bike or tram ride from central station, while having a very comfortable apartment for you and your friends, to which you can even walk back at night without all the fuss!<br /><br /><b>The space</b><br />Centrally placed beautiful apartment 15 minutes walk from the Artis Zoo and the Ortus Botanicus, Dappermarkt and Oosterpark. Strategically placed, close to main public transports, several tramways (14, 9, 10, 3, 7, 22) and Muiderpoort train station. You can walk from here in just 20 minutes to the magic Waterlooplein (doorstep of Rembrandtplein and the Nieuwmarkt) and do all your shoppings in the most multicultural and convenient market in town, the Dappermarkt, your backyard. Or you can stay at home, in a great neighborhood, enjoying the local jazz bars and traditional mill powered brew",,https://a0.muscache.com/pictures/1044450/d99b2dda_original.jpg,748161,https://www.airbnb.com/users/show/748161,Maria,2011-06-27,"Amsterdam, Netherlands","Hi everyone! This is Maria. I am a young Italian professional living in Amsterdam for 8 years with my little daugther and her lovely father, a Dutch musician. I am a Senior Project Manager for a big firm and my work takes my little family around the world quite a lot. Travelling is the quintessence of our life and meeting new people becomes a great way to see Amsterdam again and again with new eyes! I hope you will enjoy staying at our place! ",N/A,N/A,100%,f,https://a0.muscache.com/im/users/748161/profile_pic/1310051884/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/748161/profile_pic/1310051884/original.jpg?aki_policy=profile_x_medium,Indische Buurt,1,2,"['email', 'phone']",t,t,,Oud-Oost,,52.3642,4.92829,Entire rental unit,Entire home/apt,3,,1.5 baths,1,1,"[""Stainless steel oven"", ""Iron"", ""Smoke alarm"", ""Hair dryer"", ""Stainless steel gas stove"", ""Kitchen"", ""Washer"", ""Room-darkening shades"", ""Cooking basics"", ""Hot water kettle"", ""Microwave"", ""Bathtub"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Dedicated workspace"", ""Dishes and silverware"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Bed linens"", ""Private patio or balcony"", ""Wine glasses"", ""TV"", ""First aid kit"", ""Essentials"", ""Cleaning products"", ""Paid parking on premises"", ""Hot water"", ""Drying rack for clothing"", ""Heating"", ""Single level home"", ""Extra pillows and blankets""]",$200.00,3,15,3,3,15,15,3,15,,t,0,0,0,0,2023-06-06,21,0,0,2011-09-27,2019-08-20,4.76,4.76,4.81,4.81,4.86,4.33,4.52,0363 A562 4D7E 4A91 60DF,f,1,1,0,0,0.15
162467,https://www.airbnb.com/rooms/162467,20230605223331,2023-06-06,city scrape,Rental unit in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1 bath,"Stylish (recently painted and redecorated) ground floor apartment. Living room with a huge and comfy couch and big screen tv (with Netflix) Sonos sound system) One bedroom with a double bed. IThe bathroom is completely renovated and looks amazing.!<br /><br /><b>The space</b><br />I have a modern and clean ground floor apartment (no steep stairs are rare in amsterdam) in 'Amsterdam West'.<br />(just a few minutes from the Vondelpark and City Center) <br /><br />You can use my bike (the best way to get around in Amsterdam) but the tramstop (7&17 tram) is only a few steps from my house, <br />which takes you into the center of Amsterdam within 10 min. Parking isn't free in front of my house but there are free parking possibilities nearby.<br /><br />Just around the corner there is a very long <br />""shopping"" street the ""Kinkerstraat"" for all your daily needs and more. My apartment is only 20 min. from the airport or central station,<br /><br />Main attractions like the Leidseplein, Vond","It's a quiet neigbourhood, with shops and restaurants around the corner. Just a few minutes from The Vondelpark and only 10 minutes from the city center. Also only 20 minutes from te airport!! If you like you can even use my bike (best way to get around in Amsterdam:-) Otherwise I can give you (chargeable) cards to use for the public transport (trains, trams and busses)",https://a0.muscache.com/pictures/44305545/45b328e9_original.jpg,776296,https://www.airbnb.com/users/show/776296,Nicole,2011-07-04,"Amsterdam, Netherlands","Hi I'm Nicole. I'm 416 and live in a very nice appartment in Amsterdam. I love to travel and explore other countries and cultures but my heart belongs to Amsterdam. I love this city (which actually feels more like a small town) 

",within a day,75%,45%,f,https://a0.muscache.com/im/pictures/user/2559f8dc-ecb6-4535-9bc7-ce0a5493a09d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2559f8dc-ecb6-4535-9bc7-ce0a5493a09d.jpg?aki_policy=profile_x_medium,Oud-West,1,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",De Baarsjes - Oud-West,,52.3627,4.85693,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Kitchen"", ""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Microwave"", ""Refrigerator"", ""Shower gel"", ""Pets allowed"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Oven"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Private backyard \u2013 Fully fenced"", ""Private entrance"", ""Essentials"", ""TV with standard cable"", ""EV charger"", ""Hot water"", ""Smoking allowed"", ""Heating"", ""Single level home"", ""Extra pillows and blankets"", ""Stove""]",$170.00,3,3,3,3,3,3,3,3,,t,2,4,4,157,2023-06-06,67,5,2,2013-01-22,2023-05-26,4.77,4.83,4.67,4.91,4.92,4.7,4.5,0363 C6C3 A2DC 89AC B72B,f,1,1,0,0,0.53
213371,https://www.airbnb.com/rooms/213371,20230605223331,2023-06-06,previous scrape,Rental unit in Amsterdam · ★4.86 · 3 bedrooms · 4 beds · 1.5 baths,"De Pijp is a very popular area which has a lot of life (restaurants, bars, Albert Cuyp market). in our apartment you are just outside the busy area. Public transport is great but if you're healthy on your feet, you can even walk to some of the most important attractions of Amsterdam such as Museumplein and Rembrandtplein. <br /><br />Oh and one extra plus: we have roof-windows so if you're lucky and the weather is clear, you can watch the stars at night right from your bed!<br /><br />You're welcome!<br /><br /><b>The space</b><br />My apartment is located in De Pijp, an area between the city center and the south-side (RAI, WTC). There are lots of bars and restaurants within 2 minutes walking distance.  <br /> <br />Included in the rent of a room is the use of all facilities such as kitchen, bath, shower, living room with cable tv and spacious roof terrace facing south. <br /> <br />Our apartment consists of two floors, the third and fourth floor of the building. Upstairs there is the ",,https://a0.muscache.com/pictures/2beb58b4-03c5-4a54-9ed2-cd250ed5cfd5.jpg,1100324,https://www.airbnb.com/users/show/1100324,Hendrik,2011-09-02,"Amsterdam, Netherlands","Together with my wife Edelmira I have an apartment in a good and lively neighourbhood very close to the center of Amsterdam. We both like working (Edelmira works in a hotel as an assistent manager, I am a financial advisor) but when we have some time together we love to travel, mostly weekend trips.

Recently (2021) we were able to buy a second home in Mexico where we plan to stay a couple of months per year. In this period we would be happy to let someone else enjoy living in our nice apartment in De Pijp, one of the nicest areas to live, in Amsterdam.

",N/A,N/A,71%,f,https://a0.muscache.com/im/pictures/user/01f8e5a3-25b2-47fd-8f36-4f7cab084652.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/01f8e5a3-25b2-47fd-8f36-4f7cab084652.jpg?aki_policy=profile_x_medium,De Pijp,3,4,"['email', 'phone']",t,t,,De Pijp - Rivierenbuurt,,52.3515,4.89656,Entire rental unit,Entire home/apt,4,,1.5 baths,3,4,"[""Iron"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Kitchen"", ""Outdoor furniture"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Microwave"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Pets allowed"", ""Shampoo"", ""Wifi \u2013 43 Mbps"", ""Dedicated workspace"", ""Dishes and silverware"", ""Oven"", ""Hangers"", ""Bed linens"", ""Private patio or balcony"", ""Dishwasher"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Fire extinguisher"", ""Host greets you"", ""First aid kit"", ""37\"" HDTV with Netflix, premium cable"", ""Essentials"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Heating"", ""BBQ grill"", ""Extra pillows and blankets""]",$270.00,4,65,4,4,65,65,4,65,,t,2,2,2,2,2023-06-06,23,1,0,2011-09-13,2023-01-08,4.86,4.86,4.23,4.95,5,4.86,4.64,0363 F88F 4B47 6E9B 225B,f,1,1,0,0,0.16
214531,https://www.airbnb.com/rooms/214531,20230605223331,2023-06-06,city scrape,Rental unit in Amsterdam · ★4.82 · 1 bedroom · 2 beds · 1 private bath,"Just 1 minute from the Damsquare in Amsterdam (central point) a quiet guesthouse 35 m2 (own bedroom, living room & bathroom). It is a typical old house in Amsterdam, but recently renovated. Read all the reviews and the other guests will convince you.<br /><br /><b>The space</b><br />On the top floor (3d) of our unique historic storage house, built in 1737, we are offering an unique guesthouse. It is located just a few meters away from Damsquare, in the heart of Amsterdam and within walking distance from the train station, shopping streets, museums, bars and restaurants, etc. It is the perfect location for sure!! This is a street where origins go back well before 1342,  Nieuwezijdsvoorburgwal, the oldest city walls of Amsterdam. From that time nothing was in Amsterdam, a few pieces of Old Church after. The oldest building in the Pieter Jacobsz Street, between 17th-or 18th-century.<br /><br />We are offering a bedroom, a living room with tv/dvd and minibar, and a bathroom with sink, toil","The small guesthouse is very central situated, just a few meters from Dam Square what is considered to be the central point of Amsterdam. Although very central, it is very quiet in the guesthouse.",https://a0.muscache.com/pictures/de8639df-d73c-4d34-9c4c-3243b9d6042a.jpg,1107389,https://www.airbnb.com/users/show/1107389,Henry,2011-09-04,"Amsterdam, Netherlands",My name is Henry and run the B&B already for more than 10 year with pleasure.,N/A,N/A,N/A,f,https://a0.muscache.com/im/users/1107389/profile_pic/1418337350/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1107389/profile_pic/1418337350/original.jpg?aki_policy=profile_x_medium,De Wallen,1,1,"['email', 'phone']",t,f,"Amsterdam, North Holland, Netherlands",Centrum-West,,52.37169,4.89446,Private room in rental unit,Private room,3,,1 private bath,1,2,"[""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Hot tub"", ""Bathtub"", ""Refrigerator"", ""Private living room"", ""Shampoo"", ""Wifi"", ""Hangers"", ""Bed linens"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Host greets you"", ""Essentials"", ""Paid parking off premises"", ""TV with standard cable"", ""Luggage dropoff allowed"", ""Hot water"", ""Heating""]",$115.00,3,50,3,3,50,50,3,50,,t,0,0,0,0,2023-06-06,175,2,0,2011-11-07,2022-06-26,4.82,4.87,4.77,4.88,4.84,4.89,4.74,0363 1939 7BED DDCD 0353,f,1,0,1,0,1.24
2818,https://www.airbnb.com/rooms/2818,20230605223331,2023-06-05,city scrape,Condo in Amsterdam · ★4.89 · 1 bedroom · 2 beds · 1.5 shared baths,"Quiet Garden View Room & Super Fast Wi-Fi<br /><br /><b>The space</b><br />I'm renting a bedroom (room overlooking the garden) in my apartment in Amsterdam, <br /><br />The room is located to the east of the city centre in a quiet, typical Amsterdam neighbourhood, the ""Indische Buurt"". Amsterdam’s historic centre is less than 15 minutes away by bike or tram.<br /><br /><br />The features of the room are:<br /><br />- Twin beds (80 x 200 cm, pure cotton bed linen) <br />- 2 pure cotton towels for each guest <br />- reading lamps<br />- bedside table<br />- wardrobe<br />- table with chairs<br />- tea and coffee making facilities<br />- mini bar<br />- alarm clock<br />- Hi-Fi system with CD player, connection for mp3 player / phone<br />- Wireless Bluetooth Speaker (phone)<br />- map of Amsterdam and public transport<br />- Wi-Fi Internet connection<br />- Independent heating (Max. 20 °C / 68 °F)<br /><br />Extra services:<br /><br />- Bike rental<br /><br /><b>License number</b><br />0","Indische Buurt (""Indies Neighborhood"") is a neighbourhood in the eastern portion of the city of Amsterdam, in the Dutch province of Noord-Holland. The name dates from the early 20th century and is derived from the fact that the neighbourhood's streets are named after islands and other geographical concepts in the former Dutch colony of the Dutch East Indies. The first street was named in 1902. In 2003, there were around 23,357 inhabitants. The neighbourhood is bounded on the west by the railroad Amsterdam - Hilversum (with the Muiderpoort Station), on the east side by Flevopark, on the north side by Zeeburgerdijk and on the south side by the Ringvaart Watergraafsmeer. Indische Buurt is the oldest part of the Zeeburg district and is very ethnically diverse, and a high percentage of the population is of immigrant origin (for Zeeburg this is already high at 55%, but higher in the Indische Buurt) and there are an estimated 100 languages spoken.",https://a0.muscache.com/pictures/10272854/8dcca016_original.jpg,3159,https://www.airbnb.com/users/show/3159,Daniel,2008-09-24,"Amsterdam, Netherlands","Upon arriving in Amsterdam, one can imagine asking oneself: Where is the fun nightlife? What are the local hot spots? 

How can I experience the real life in this city? I  offer you the opportunity to act, eat and sleep like-a-local!  

I provide the traveler with the opportunity to connect with the local life in Amsterdam.",within an hour,100%,100%,,https://a0.muscache.com/im/users/3159/profile_pic/1259095323/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3159/profile_pic/1259095323/original.jpg?aki_policy=profile_x_medium,Indische Buurt,1,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Oostelijk Havengebied - Indische Buurt,,52.36435,4.94358,Private room in condo,Private room,2,,1.5 shared baths,,2,"[""Iron"", ""Portable fans"", ""Smoke alarm"", ""Hair dryer"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""PH neutral and dermatologically tested body soap"", ""Fast wifi \u2013 52 Mbps"", ""Mini fridge"", ""Mosquito net"", ""Shower gel"", ""Central heating"", ""Dedicated workspace"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Bed linens"", ""Security cameras on property"", ""Laundromat nearby"", ""Garden view"", ""Clothing storage: wardrobe"", ""Single level home"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Host greets you"", ""First aid kit"", ""Essentials"", ""Paid washer \u2013 In unit"", ""Paid street parking off premises"", ""Exercise equipment: yoga mat"", ""Hot water"", ""Ethernet connection"", ""Books and reading material"", ""Drying rack for clothing"", ""PH neutral and dermatologically tested shampoo"", ""Sony + Wireless Bluetooth Speaker(phone) Bluetooth sound system"", ""Extra pillows and blankets""]",$69.00,3,28,2,3,1125,1125,3,1125,,t,1,5,7,7,2023-06-05,336,40,6,2009-03-30,2023-05-31,4.89,4.93,4.99,4.97,4.98,4.69,4.8,,f,1,0,1,0,1.95
20168,https://www.airbnb.com/rooms/20168,20230605223331,2023-06-06,previous scrape,Townhouse in Amsterdam · ★4.44 · 1 bedroom · 1 bed · 1 private bath,"17th century Dutch townhouse in the heart of the city. no public transport needed! Located a stones throw from Rembrandt Square, Dam Square, Leidse Square and Flower Market. Walking distance from Central Station.<br />Comfortable, cosy, lockable studio with comfortable bed and with private bathroom, double glazed windows and night blackout curtains, flat screen TV and mini fridge, Wi-Fi. No bathtub only shower. No kitchen. No curfew. You feel 100% privacy. Maximum for 2 persons!<br /><br /><b>The space</b><br />For those who like all facets of city life. In the streets surrounding the house, there are lots of antique shops, and for those who are into browsing for antiques. The Rijksmuseum is a short walk away. The famous nine-streets with all its little boutique shops, cafes, restaurants and whatnot is also around the corner. The Dam Square, Leidse Square and Rembrandt Squarejust minutes to walk.<br />No Curfew and you feel 100% privacy. <br />Hair dryer, towels and linens are included","Located just in between famous central canals. In the streets surrounding the house, there are lots of antique shops, and for those who are into browsing for antiques. The Rijksmuseum is a short walk away. The famous nine-streets with all its little boutique shops, cafes, restaurants and whatnot is also around the corner. The Dam Square, Leidse Square and Rembrandt Squarejust minutes to walk.<br />No Curfew and you feel 100% privacy. <br />Hair dryer, towels and linens are included. No kitchen.<br />Airport pick-up is possible at extra charge (ask for it)",https://a0.muscache.com/pictures/69979628/fd6a3a80_original.jpg,59484,https://www.airbnb.com/users/show/59484,Alexander,2009-12-02,"Amsterdam, Netherlands",31638535212,within an hour,100%,98%,,https://a0.muscache.com/im/pictures/user/65092142-62d7-48a9-9479-ad5a24d99a77.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/65092142-62d7-48a9-9479-ad5a24d99a77.jpg?aki_policy=profile_x_medium,Grachtengordel,5,5,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-Oost,,52.36407,4.89393,Private room in townhouse,Private room,2,,1 private bath,,1,"[""Refrigerator"", ""Free street parking"", ""Smoke alarm"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Heating"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Paid parking off premises""]",$106.00,1,365,1,4,1125,1125,2.4,1125,,t,0,0,0,0,2023-06-06,339,0,0,2010-03-02,2020-04-09,4.44,4.69,4.79,4.63,4.62,4.87,4.49,,t,2,0,2,0,2.1
168769,https://www.airbnb.com/rooms/168769,20230605223331,2023-06-06,previous scrape,Boutique hotel in Amsterdam · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,"5 min's Walk from Central Station, on famous Brouwersgracht, comfy room with private ensuite faciliteit in  canalhouse. All main attractions within walkingdistance. Located in Jordaan, trendy Haarlemmerstraat around the corner. Kitchen open in the morning.<br /><br /><b>The space</b><br />Superb located, just 5 minutes walk from central station. Situated at the Brouwersgracht (appointed as the most beautifull canal) in a traditional canalhouse, decorated in a sturdy classic style.<br /><br />Large Room which has it's private in-room shower and toilet, this specific room is very suitable for longer Stays for individual travellers. <br /><br />Very trendy Haarlemmerstraat and -dijk, right behind, offers many breakfastoportinities to kick start your day. <br /><br />All musea, such as Anne Frank House, van Gogh, Rijksmuseum, stedelijk museum, Scheepvaartmuseum and the Hermitage are within walking distance. <br /><br />Lots of possibilities around to rent a bike and explore the city in thi",,https://a0.muscache.com/pictures/de0447a3-4e56-4a5d-8d85-c2471e0907da.jpg,436145,https://www.airbnb.com/users/show/436145,Riks,2011-03-11,"Amsterdam, Netherlands","Dutch guy, offering single use rooms with private ensuite facilities on the most famous canal in the hart of the city centre. Just a few minutes walk of central station. Feeling @ home in Amsterdam is the motto.


",N/A,N/A,98%,t,https://a0.muscache.com/im/users/436145/profile_pic/1361214804/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/436145/profile_pic/1361214804/original.jpg?aki_policy=profile_x_medium,Grachtengordel,4,4,"['email', 'phone']",t,t,,Centrum-West,,52.37956,4.89359,Room in boutique hotel,Private room,1,,1.5 baths,1,1,"[""Iron"", ""Resort access"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Fast wifi \u2013 93 Mbps"", ""Shampoo"", ""Dedicated workspace"", ""Hangers"", ""Security cameras on property"", ""Courtyard view"", ""Long term stays allowed"", ""Waterfront"", ""Lock on bedroom door"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""Paid parking off premises"", ""Lockbox"", ""Self check-in"", ""Hot water"", ""Heating""]",$126.00,3,1124,3,3,1124,1124,3,1124,,t,0,0,0,0,2023-06-06,280,12,0,2011-09-28,2022-12-29,4.59,4.66,4.77,4.77,4.71,4.96,4.4,0363 4108 6EC3 C2FF 2493,f,4,0,4,0,1.97
27886,https://www.airbnb.com/rooms/27886,20230605223331,2023-06-06,previous scrape,Houseboat in Amsterdam · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,"Stylish and romantic houseboat on fantastic historic location with breathtaking view.  Wheelhouse, deckhouse and captains room. Central, quiet. Great breakfast, 2 vanMoof design bikes and a Canadian Canoe are included. Just read the reviews on tripadvisor for instance!<br /><br /><b>The space</b><br />For a romantic couple: A beautifully restored traditional dutch barge, M.s. Luctor, with all modern comforts, your own entrance, three rooms,(sleeping room, deckhouse and wheelhouse) with two bikes and a Canadian canoe to explore the city. Have your breakfast weather permitting on the large jetty. (You  might want to give a piece of your fresh fruit to our Greek turtle...) Organic products, a variety of cheese, fresh orange juice and croisants... We are member of green-hotels (ECEAT) and care for the environment. (We just installed solar pannels! A lot of questions can be answered on our own site, there is a button with Frequently Asked Questions.) <br />The location is superb, fantastic ","Central, quiet, safe, clean and beautiful.",https://a0.muscache.com/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg,97647,https://www.airbnb.com/users/show/97647,Flip,2010-03-23,"Amsterdam, Netherlands","Marjan works in ""eye"" the dutch filmmuseum, and designs costumes for tv, film and theatre. Flip is an actor, mainly on stage, but also for film and tv. So for cultural advise, what to do, you are coming to the right place...

",within an hour,100%,100%,,https://a0.muscache.com/im/users/97647/profile_pic/1273275077/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/97647/profile_pic/1273275077/original.jpg?aki_policy=profile_x_medium,Westelijke Eilanden,1,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,,52.38761,4.89188,Private room in houseboat,Private room,2,,1.5 baths,,1,"[""Portable fans"", ""Smoke alarm"", ""Hair dryer"", ""Hp neutral, eco friendly body soap"", ""Bikes"", ""Outdoor furniture"", ""Smart lock"", ""Carbon monoxide alarm"", ""Kayak"", ""Mini fridge"", ""Refrigerator"", ""City skyline view"", ""Central heating"", ""Shower gel"", ""Coffee"", ""Private living room"", ""Boat slip"", ""Shampoo"", ""Dedicated workspace"", ""Dishes and silverware"", ""Public or shared beach access"", ""Breakfast"", ""Hangers"", ""Bed linens"", ""Laundromat nearby"", ""Private patio or balcony"", ""Garden view"", ""Wine glasses"", ""Long term stays allowed"", ""Waterfront"", ""Outdoor dining area"", ""Coffee maker: Nespresso"", ""Lock on bedroom door"", ""Private entrance"", ""Fire extinguisher"", ""Fast wifi \u2013 245 Mbps"", ""Clothing storage: closet"", ""Essentials"", ""Harbor view"", ""TV with standard cable"", ""Dining table"", ""Canal view"", ""Paid street parking off premises"", ""Self check-in"", ""Safe"", ""Private backyard \u2013 Not fully fenced"", ""Luggage dropoff allowed"", ""Hot water"", ""Books and reading material"", ""Lake access"", ""Extra pillows and blankets""]",$137.00,3,356,3,3,1125,1125,3,1125,,t,0,0,0,0,2023-06-06,251,20,0,2012-01-09,2023-05-01,4.94,4.92,4.95,4.95,4.92,4.89,4.79,,f,1,0,1,0,1.81
28871,https://www.airbnb.com/rooms/28871,20230605223331,2023-06-06,city scrape,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,"<b>The space</b><br />In a monumental house right in the center of Amsterdam, we offer two rooms (one single room and one double room) to visitors who want to enjoy the comfort of a home-like accommodation, plus being in the middle of the historic city center, close to all important museums, shopping streets, restaurants, bars and clubs. Both rooms share a bathroom,  access to free wifi internet.<br /><br />We are situated in the middle of the most important nightlife area of Amsterdam, which makes it a very vibrant place, but also a noisy place.<br /><br /><b>During your stay</b><br />Im always available for questions<br /><br /><b>Other things to note</b><br />Washing and drying are for a flat fee of €10<br /><br /><b>License number</b><br />0363 607B EA74 0BD8 2F6F","Flower market , Leidseplein , Rembrantsplein",https://a0.muscache.com/pictures/160889/362340f7_original.jpg,124245,https://www.airbnb.com/users/show/124245,Edwin,2010-05-13,"Amsterdam, Netherlands",Hi,N/A,N/A,N/A,,https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium,Amsterdam Centrum,2,2,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,,52.36775,4.89092,Private room in rental unit,Private room,2,,1 shared bath,,1,"[""Iron"", ""Refrigerator"", ""Host greets you"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Shampoo"", ""Heating"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Dishes and silverware"", ""Private entrance"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Essentials"", ""Cleaning products""]",$79.00,2,1825,1,2,1825,1825,1.8,1825,,t,0,1,1,97,2023-06-06,510,107,8,2010-08-22,2023-06-03,4.87,4.91,4.87,4.95,4.94,4.96,4.83,,f,2,0,2,0,3.27
171054,https://www.airbnb.com/rooms/171054,20230605223331,2023-06-06,previous scrape,Rental unit in Amsterdam · ★4.75 · 2 bedrooms · 3 beds · 1 bath,"Popular neighbourhood close to the city's center. Sleeps 3, 4 people. The place is clean, the furniture is basic. No cleaning cost.<br /><br /><br />Check-in Monday through Thursday from 18:00, flexible on Friday, Saturday and Sunday.<br /><br /><b>The space</b><br />Well kept 3-room apartment near the city's center, next to lively market and shops. Bath, separate shower, balcony, dishwasher, washing machine, cable, wifi. No cleaning cost!<br /><br />Trams stop close to the house to take you anywhere. A five minute tram ride takes you to the popular Jordaan district, a ten minute tram ride to either Central Station or Sloterdijk (train to airport).<br /><br />Ideal for three adults or a small family. One double bed, one low bed  (to sleep 3 adults or 2 adults plus a kid).<br />There's an airbed in case three adults rather sleep alone.<br /><br />The apartment is in a popular neighbourhood with divers shops and a lively market just a minute away. Recently the neighbourhood became very p","The neighborhood is getting more popular every day, with new bars and restaurants popping up all the time.",https://a0.muscache.com/pictures/a250ad44-1310-47de-ac36-cfbd3f65f148.jpg,815989,https://www.airbnb.com/users/show/815989,Kamiel,2011-07-13,"Amsterdam, Netherlands",.,N/A,N/A,N/A,f,https://a0.muscache.com/im/users/815989/profile_pic/1311064677/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/815989/profile_pic/1311064677/original.jpg?aki_policy=profile_x_medium,Oud-West,1,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",De Baarsjes - Oud-West,,52.36768,4.86646,Entire rental unit,Entire home/apt,3,,1 bath,2,3,"[""Iron"", ""Smoke alarm"", ""Hair dryer"", ""Coffee maker"", ""Kitchen"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hot water kettle"", ""Microwave"", ""Hot tub"", ""Refrigerator"", ""Wifi"", ""Dishes and silverware"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher"", ""First aid kit"", ""Essentials"", ""TV with standard cable"", ""Patio or balcony"", ""Hot water"", ""Heating"", ""Extra pillows and blankets"", ""Stove""]",$120.00,3,5,3,3,5,5,3,5,,t,0,0,0,0,2023-06-06,103,0,0,2011-07-18,2018-11-28,4.75,4.82,4.77,4.96,4.97,4.73,4.75,0363 BDF7 C0EC 9B88 DECA,f,1,1,0,0,0.71
